Page,Canonical,Page Role,Topical Cluster,Intent Family,Title,Title Length,Primary H1,H1 Count,H2 Count,H3 Count,H2 Headings,Meta Description,Meta Description Length,Meta Keywords,Focus Keyword,Focus Keyword Source,Keyword In Title,Keyword In H1,Keyword In Description,Title/H1 Alignment,Related Section Present,Related Calculator Links,Internal Linking Status,Canonical File,SEO Alignment Score,Cannibalization Risk,Audit Notes,Conflict Notes
/calculators/,https://ampstowatt.com/calculators/,Calculator hub,Electrical calculator directory,electrical calculators,"Electrical Calculators | Amps to Watts, Watt Hours, Voltage Drop & More",71,Electrical Calculator Page Directory,1,7,3,"Website Page Sequence | Core Calculator Pages | Voltage Calculator Pages | AC, DC, and Phase Calculator Pages | Specialized Power Calculator Pages | Learning, Trust, and Legal Pages | Related Amps to Watts and Electrical Calculators","Complete suite of electrical calculators: Amps to Watts, Amp Hours to Watt Hours, Volt-Amps, Watt to Amps, Voltage Drop, Power Factor, Wire Gauge. Free, accurate, professional tools for electricians, engineers, and DIY enthusiasts.",231,"electrical calculators, amps to watts, amp hours to watt hours, volt amps calculator, watt to amps, voltage drop calculator, power factor calculator, wire gauge calculator, electrical engineering tools",electrical calculators,URL slug target,Yes,Partial/No,Yes,Review,Yes,23,Strong,calculators\index.html,76,Low,Title length outside common SERP range; Meta description length should be tightened; Focus keyword not exact in H1,No direct keyword conflict found from static page signals
/,https://ampstowatt.com/,Home pillar,Core amps to watts,amps to watts calculator,Amps To Watts Calculator,24,Amps To Watts Calculator,1,36,27,"Understanding Electrical Units: Amps, Volts, and Watts | The Amps to Watts Formula | Typical Power Factor Values | How to Convert Amps to Watts: Step-by-Step Examples | Amps to Watts Conversion Tables | Important Considerations for AC and DC Systems | Amps to Watts Conversion | Amps to Watts Formula | Amps to Watts Equation | What Is the Amps to Watts Conversion | How to Convert Amps to Watts | How Calculate Amps to Watts | How Many Watts Is Amp | Can Watts Be Converted to Amps | Amps and Watts Difference | How Do Watts Relate to Amps | Amps to Watts AC | Amps to Watts AC Power | Amps to Watts DC | Amps to Watts Calculator AC","Use this ampere to watt calculator to convert amps to watts for DC, AC single phase, and AC three phase circuits. Includes formulas, power factor values, examples, and conversion tables.",186,"amps to watts, ampere to watt calculator, convert amps to watts, amps to watts formula, watt calculator, amp to watt hours, amp hour to watt hour, ampere to watt hour, volt amps calculator, voltage drop calculator, power factor calculator, wire gauge calculator, electrical power calculator, AC power calculator, three phase power calculator",amps to watts calculator,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,index.html,84,Low,Title length outside common SERP range; Meta description length should be tightened,No direct keyword conflict found from static page signals
/3-phase-amps-to-watts-calculator/,https://ampstowatt.com/3-phase-amps-to-watts-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",3 phase amps to watts,3 Phase Amps to Watts Calculator - Balanced AC Power Conversion,63,3 Phase Amps to Watts Calculator,1,12,7,3 Phase Power Calculator Watts to Amps | Three phase load chart | 3 Phase Amps to Watts Calculator Technical Visual Guide | 3 Phase Amps to Watts Calculator Technical Sub Calculators | The Basics of Amps to Watts Conversion | 3 Phase Amps to Watts Calculator: The Formula for Balanced Systems | 230 Amps to Watts Calculator: Example for 3-Phase Systems | Watts to Amps 230V Calculator: Reverse Calculation | 100 Watts to Amps 230V Calculator: Low-Power Example | Amps to Watts to Volts Calculator: Three-Way Conversion | Section 5: Practical Applications and Best Practices | Related Amps to Watts and Electrical Calculators,"3 Phase Amps to Watts Calculator for balanced three phase AC systems, motors, EV charging, generators, transformers, 230V reverse calculations, 400V power, and power factor corrected wattage.",191,"3 Phase Amps to Watts Calculator, 3 phase power calculator watts to amps, three phase amps watts, amps to watts 3 phase, watts to amps 230v calculator, power factor calculator",3 phase amps to watts,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,3-phase-amps-to-watts-calculator\index.html,84,High,Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: 3 phase amps to watts
/3-phase-calculator/,https://ampstowatt.com/3-phase-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",3 phase amps to watts,"3 Phase Calculator - Power, Current, kW, kVA, HP, and Cable Size",64,3 Phase Calculator,1,15,10,3 Phase Calculator | Three phase load chart | 3 Phase Calculator Technical Visual Guide | 3 Phase Calculator Technical Sub Calculators | 3 Phase Calculator Formula | 3 Phase Calculation Formula | How to Calculate 3 Phase Power Calculator | 3 Phase Power Calculator Formula | Total 3 Phase Power Formula | 3 Phase Power Calculation Formula | 3 Phase Power Calculation Example | 3 Phase Calculation Examples | Calculate 3 Phase Power Calculator | How Do You Calculate 3 Phase Power Per Phase | Related Amps to Watts and Electrical Calculators,"3 Phase Calculator for three phase power, current, kW, kVA, HP to amps, load, cable size, voltage drop, apparent power, real power, reactive power, star and delta circuits.",172,"3 Phase Calculator, three phase calculator, 3 phase calculator formula, 3 phase power calculator formula, 3 phase kW calculator with amps, 3 phase load calculator, 3 phase cable size calculator",3 phase calculator,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,3-phase-calculator\index.html,84,High,Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: 3 phase amps to watts
/ac-amps-to-watts-calculator/,https://ampstowatt.com/ac-amps-to-watts-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",ac amps to watts,"AC Amps to Watts Calculator - Single Phase, Three Phase, and Power Factor",73,AC Amps to Watts Calculator,1,7,23,AC Amps to Watts Calculator | Power calculation chart | AC Amps to Watts Calculator Technical Visual Guide | AC Amps to Watts Calculator Technical Sub Calculators | Amps to Watts Calculator AC | AC Single Phase Amps to Watts Calculator | Related Amps to Watts and Electrical Calculators,"AC Amps to Watts Calculator for converting AC amps to watts with voltage and power factor. Includes single phase AC, three phase AC, appliance examples, motors, air conditioners, and load calculations.",201,"AC Amps to Watts Calculator, amps to watts calculator ac, ac single phase amps to watts calculator, AC amps to watts, AC power formula, power factor AC, volts amps watts AC",AC amps to watts,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,ac-amps-to-watts-calculator\index.html,76,High,Title length outside common SERP range; Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: ac amps to watts
/ac-calculator/,https://ampstowatt.com/ac-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",ac amps to watts,AC BTU and Wattage Calculator - AC Calculator for Cooling and Power,67,AC BTU and Wattage Calculator,1,7,14,AC BTU Calculator | General Purpose AC or Heating BTU Calculator | Power calculation chart | AC BTU and Wattage Calculator Technical Visual Guide | AC BTU and Wattage Calculator Technical Sub Calculators | AC Wattage Calculator | Related Amps to Watts and Electrical Calculators,"AC Calculator for BTU sizing, air conditioner sizing, HVAC load calculation, cooling capacity, AC wattage, single phase AC watts, three phase AC watts, SEER, EER, and running cost planning.",189,"AC Calculator, AC BTU Calculator, AC Wattage Calculator, air conditioner calculator, BTU calculator AC, AC power consumption, AC running cost, AC load calculation, HVAC calculator tool",AC calculator,URL slug target,Yes,Partial/No,Yes,Aligned,Yes,23,Strong,ac-calculator\index.html,68,High,Title length outside common SERP range; Meta description length should be tightened; Focus keyword not exact in H1; Shares search-intent family with another page,High Same search-intent family: ac amps to watts
/amps-to-watts-3-phase-calculator/,https://ampstowatt.com/amps-to-watts-3-phase-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",3 phase amps to watts,Amps to Watts 3 Phase Calculator,32,Amps to Watts 3 Phase Calculator,1,5,3,How Amps to Watts 3 Phase Calculator Works | Three phase load chart | Amps to Watts 3 Phase Calculator Technical Visual Guide | Related Amps to Watts and Electrical Calculators | Amps to Watts 3 Phase Calculator FAQ,"Amps to Watts 3 Phase Calculator for three phase amps to watts conversion. Calculate watts, amps, volts, power factor, kW, kVA, kWh, and electrical load values with formulas, examples, diagrams, and FAQ.",203,"Amps to Watts 3 Phase Calculator, amps to watts, watts to amps, electrical calculator, power conversion, voltage amps watts, power factor, AC, DC, three phase",amps to watts 3 phase,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,amps-to-watts-3-phase-calculator\index.html,76,High,Title length outside common SERP range; Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: 3 phase amps to watts
/amps-to-watts-ac-calculator/,https://ampstowatt.com/amps-to-watts-ac-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",ac amps to watts,"Amps to Watts AC Calculator | Single Phase, 3 Phase, PF",55,Amps to Watts AC Calculator,1,11,12,"Basic Concepts: Amps, Watts, and Volts in AC Circuits | Power calculation chart | Amps to Watts AC Calculator Technical Visual Guide | Converting Amps to Watts in AC Systems | Converting Watts to Amps in AC Systems | DC to AC Conversions | DC Amps to AC Amps Calculator Watts | Practical Examples and Common Scenarios | Related Amps to Watts and Electrical Calculators | Frequently Asked Questions | Conclusion","Amps to Watts AC Calculator for single phase, 3 phase, 12V, 120V, 220V, 240V, 480V, power factor, watts to amps AC, AC watts to DC amps, generator, motor, and appliance loads.",175,"amps to watts calculator ac, ac single phase amps to watts calculator, ac volts amps watts calculator, amps calculator ac, convert ac watts to amps, watts to amps calculator ac 240 volts, amps to watts calculator 3 phase",amps to watts AC,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,amps-to-watts-ac-calculator\index.html,84,High,Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: ac amps to watts
/dc-amps-to-watts-calculator/,https://ampstowatt.com/dc-amps-to-watts-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",dc amps to watts,DC Amps to Watts Calculator: A Comprehensive Guide,50,DC Amps to Watts Calculator: A Comprehensive Guide,1,14,17,Introduction: Understanding DC Amps to Watts Conversion | Power calculation chart | DC Amps to Watts Calculator: A Comprehensive Guide Technical Visual Guide | The Basics of DC Amps to Watts Conversion | How to Use a DC Amps to Watts Calculator | Converting DC Amps to AC Watts | Understanding DC Amps to AC Watts Conversion | Reverse Conversion: Watts to Amps DC Calculator | How to Convert Watts to Amps DC Calculator | Practical Examples of DC Amps to Watt Calculations | Common Applications of DC Amps to Watts Conversion | Troubleshooting and Tips for Accurate Conversion | Related Amps to Watts and Electrical Calculators | Frequently Asked Questions,"DC Amps to Watts Calculator guide for direct current power conversion, 1 amp DC to watts, 10 amps DC to watts, watts to amps DC 12V, DC to AC watts, solar, battery, marine, and automotive examples.",197,"DC amps to watts calculator, DC amps to watts, dc amps to watts converter, 1 amp dc to watts calculator, 10 amps dc to watts, dc amps to ac amps calculator watts, watts to amps calculator dc 12v, dc amps to watts conversion",DC amps to watts,URL slug target,Yes,Yes,Yes,Aligned,Yes,23,Strong,dc-amps-to-watts-calculator\index.html,84,High,Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: dc amps to watts
/dc-calculator/,https://ampstowatt.com/dc-calculator/,Supporting calculator,"AC/DC, phase, and apparent power",dc amps to watts,"DC Calculator: Direct Current Power, Voltage, Amps, Wire, Battery",65,DC Calculator: The Ultimate Guide to Direct Current Calculations,1,9,17,Introduction: What is a DC Calculator? | Power calculation chart | DC Calculator: The Ultimate Guide to Direct Current Calculations Technical Visual Guide | DC Calculator for Electrical Engineering | Specialized DC Calculators | DC Calculator for Gaming (D&D) | Related Amps to Watts and Electrical Calculators | Frequently Asked Questions | Conclusion: Choosing the Right DC Calculator,"DC Calculator guide for direct current power, voltage, amps, resistance, voltage drop, wire gauge, fuse size, battery load, DC motor, DC cable size, and D&D difficulty class calculators.",186,"DC Calculator, DC power calculator, DC voltage calculator, DC current calculator, DC circuit calculator, DC amp calculator, DC wire gauge calculator, DC voltage drop calculator, DC fuse calculator, DC battery calculator, DC calculator 5e, DC calculator DND",DC calculator,URL slug target,Yes,Yes,Yes,Review,Yes,23,Strong,dc-calculator\index.html,84,High,Meta description length should be tightened; Shares search-intent family with another page,High Same search-intent family: dc amps to watts
